reference	start_seconds	end_seconds
Genesis-8-15	0.000000	3.769379
Genesis-8-16	3.769379	10.153009
Genesis-8-17	10.153009	30.037649
Genesis-8-18	30.037649	35.394028
Genesis-8-19	35.394028	45.061192
Genesis-8-20	45.061192	58.397108
Genesis-8-21	58.397108	87.416943
Genesis-8-22	87.416943	104.128112
Genesis-9-1	104.128112	112.841400
Genesis-9-2	112.841400	129.534226
Genesis-9-3	129.534226	137.550451
Genesis-9-4	137.550451	143.090268
Genesis-9-5	143.090268	155.215496
Genesis-9-6	155.215496	162.828158
Genesis-9-7	162.828158	EOF
