reference	start	end	words
Genesis-9-18	0.000000	9.096649	13
Genesis-9-19	9.096649	13.375158	8
Genesis-9-20	13.375158	16.979127	6
Genesis-9-21	16.979127	21.142001	7
Genesis-9-22	21.142001	28.639028	11
Genesis-9-23	28.639028	46.215605	21
Genesis-9-24	46.215605	53.076637	10
Genesis-9-25	53.076637	57.856232	7
Genesis-9-26	57.856232	63.445275	9
Genesis-9-27	63.445275	70.152127	10
Genesis-9-28	70.152127	76.203712	9
Genesis-9-29	76.203712	82.313114	10
Genesis-10-1	82.313114	91.062857	12
Genesis-10-2	91.062857	98.328613	9
Genesis-10-3	98.328613	102.395124	5
Genesis-10-4	102.395124	108.677979	6
Genesis-10-5	108.677979	118.330419	9
Genesis-10-6	118.330419	122.146386	6
Genesis-10-7	122.146386	130.587768	11
Genesis-10-8	130.587768	136.446627	9
Genesis-10-9	136.446627	145.234916	14
Genesis-10-10	145.234916	152.481399	9
Genesis-10-11	152.481399	159.477339	13
Genesis-10-12	159.477339	165.933648	9
Genesis-10-13	165.933648	178.807719	10
Genesis-10-14	178.807719	189.677445	10
Genesis-10-15	189.677445	196.692657	7
Genesis-10-16	196.692657	200.508625	6
Genesis-10-17	200.508625	204.035504	6
Genesis-10-18	204.035504	212.033617	10
Genesis-10-19	212.033617	228.029844	15
Genesis-10-20	228.029844	234.274154	7
Genesis-10-21	234.274154	241.038823	11
Genesis-10-22	241.038823	245.914782	7
Genesis-10-23	245.914782	249.827112	6
Genesis-10-24	249.827112	257.728862	8
Genesis-10-25	257.728862	268.116773	14
Genesis-10-26	268.116773	274.206903	10
Genesis-10-27	274.206903	277.232695	6
Genesis-10-28	277.232695	280.316305	6
Genesis-10-29	280.316305	285.038083	10
Genesis-10-30	285.038083	290.530763	7
Genesis-10-31	290.530763	295.888536	7
Genesis-10-32	295.888536	313.782750	12
