after_reference	nominal_transition	chosen_transition	silence_start	silence_end	method
Genesis-9-18	9.096649	9.226720	9.010360	9.443080	silence_mid
Genesis-9-19	13.375158	13.521900	13.293000	13.750800	silence_mid
Genesis-9-20	16.979127	17.217200	17.009300	17.425100	silence_mid
Genesis-9-21	21.142001	21.373750	21.095900	21.651600	silence_mid
Genesis-9-22	28.639028	28.666300	28.496100	28.836500	silence_mid
Genesis-9-23	46.215605	46.361950	46.065900	46.658000	silence_mid
Genesis-9-24	53.076637	53.147400	53.071300	53.223500	silence_mid
Genesis-9-25	57.856232	58.034800	57.881100	58.188500	silence_mid
Genesis-9-26	63.445275	63.605450	63.500200	63.710700	silence_mid
Genesis-9-27	70.152127	70.352550	70.221300	70.483800	silence_mid
Genesis-9-28	76.203712	76.212000	76.165600	76.258400	silence_mid
Genesis-9-29	82.313114	82.810200	82.376200	83.244200	silence_mid
Genesis-10-1	91.062857	91.067900	90.922400	91.213400	silence_mid
Genesis-10-2	98.328613	98.713300	98.401400	99.025200	silence_mid
Genesis-10-3	102.395124	103.123500	102.756000	103.491000	silence_mid
Genesis-10-4	108.677979	108.998500	108.762000	109.235000	silence_mid
Genesis-10-5	118.330419	118.511000	118.333000	118.689000	silence_mid
Genesis-10-6	122.146386	122.256000	122.155000	122.357000	silence_mid
Genesis-10-7	130.587768	131.001500	130.749000	131.254000	silence_mid
Genesis-10-8	136.446627	136.732500	136.473000	136.992000	silence_mid
Genesis-10-9	145.234916	145.444000	145.343000	145.545000	silence_mid
Genesis-10-10	152.481399	152.694000	152.572000	152.816000	silence_mid
Genesis-10-11	159.477339	159.558500	159.498000	159.619000	silence_mid
Genesis-10-12	165.933648	166.251500	166.012000	166.491000	silence_mid
Genesis-10-13	178.807719	179.692500	178.800000	180.585000	silence_mid
Genesis-10-14	189.677445	190.099500	189.686000	190.513000	silence_mid
Genesis-10-15	196.692657	196.912000	196.675000	197.149000	silence_mid
Genesis-10-16	200.508625	201.114000	200.949000	201.279000	silence_mid
Genesis-10-17	204.035504	204.104000	203.993000	204.215000	silence_mid
Genesis-10-18	212.033617	213.085000	211.827000	214.343000	silence_mid
Genesis-10-19	228.029844	228.276500	227.936000	228.617000	silence_mid
Genesis-10-20	234.274154	234.841500	234.225000	235.458000	silence_mid
Genesis-10-21	241.038823	241.016000	240.853000	241.179000	silence_mid
Genesis-10-22	245.914782	246.010500	245.884000	246.137000	silence_mid
Genesis-10-23	249.827112	249.827112			word_onset_fallback
Genesis-10-24	257.728862	257.728862			word_onset_fallback
Genesis-10-25	268.116773	268.230500	267.966000	268.495000	silence_mid
Genesis-10-26	274.206903	274.397000	274.154000	274.640000	silence_mid
Genesis-10-27	277.232695	277.280500	277.107000	277.454000	silence_mid
Genesis-10-28	280.316305	280.619000	280.412000	280.826000	silence_mid
Genesis-10-29	285.038083	285.464000	285.346000	285.582000	silence_mid
Genesis-10-30	290.530763	290.786000	290.518000	291.054000	silence_mid
Genesis-10-31	295.888536	296.358000	296.107000	296.609000	silence_mid
