reference	index	word	lemma	morph
10:2	1	בְּנֵ֣י	1121 a	HNcmpc
10:2	2	יֶ֔פֶת	3315	HNp
10:2	3	גֹּ֣מֶר	1586	HNp
10:2	4	וּ/מָג֔וֹג	c/4031	HC/Np
10:2	5	וּ/מָדַ֖י	c/4074	HC/Np
10:2	6	וְ/יָוָ֣ן	c/3120	HC/Np
10:2	7	וְ/תֻבָ֑ל	c/8422	HC/Np
10:2	8	וּ/מֶ֖שֶׁךְ	c/4902	HC/Np
10:2	9	וְ/תִירָֽס	c/8494	HC/Np
10:3	1	וּ/בְנֵ֖י	c/1121 a	HC/Ncmpc
10:3	2	גֹּ֑מֶר	1586	HNp
10:3	3	אַשְׁכֲּנַ֥ז	813	HNp
10:3	4	וְ/רִיפַ֖ת	c/7384 b	HC/Np
10:3	5	וְ/תֹגַרְמָֽה	c/8425	HC/Np
10:4	1	וּ/בְנֵ֥י	c/1121 a	HC/Ncmpc
10:4	2	יָוָ֖ן	3120	HNp
10:4	3	אֱלִישָׁ֣ה	473	HNp
10:4	4	וְ/תַרְשִׁ֑ישׁ	c/8659	HC/Np
10:4	5	כִּתִּ֖ים	3794	HNp
10:4	6	וְ/דֹדָנִֽים	c/1721	HC/Np
10:5	1	מֵ֠/אֵלֶּה	m/428	HR/Pdxcp
10:5	2	נִפְרְד֞וּ	6504	HVNp3cp
10:5	3	אִיֵּ֤י	339	HNcmpc
10:5	4	הַ/גּוֹיִם֙	d/1471 a	HTd/Ncmpa
10:5	5	בְּ/אַרְצֹתָ֔/ם	b/776	HR/Ncbpc/Sp3mp
10:5	6	אִ֖ישׁ	376	HNcmsa
10:5	7	לִ/לְשֹׁנ֑/וֹ	l/3956	HR/Ncbsc/Sp3ms
10:5	8	לְ/מִשְׁפְּחֹתָ֖/ם	l/4940	HR/Ncfpc/Sp3mp
10:5	9	בְּ/גוֹיֵ/הֶֽם	b/1471 a	HR/Ncmpc/Sp3mp
10:6	1	וּ/בְנֵ֖י	c/1121 a	HC/Ncmpc
10:6	2	חָ֑ם	2526	HNp
10:6	3	כּ֥וּשׁ	3568 a	HNp
10:6	4	וּ/מִצְרַ֖יִם	c/4714	HC/Np
10:6	5	וּ/פ֥וּט	c/6316	HC/Np
10:6	6	וּ/כְנָֽעַן	c/3667 a	HC/Np
10:7	1	וּ/בְנֵ֣י	c/1121 a	HC/Ncmpc
10:7	2	כ֔וּשׁ	3568 a	HNp
10:7	3	סְבָא֙	5434	HNp
10:7	4	וַֽ/חֲוִילָ֔ה	c/2341	HC/Np
10:7	5	וְ/סַבְתָּ֥ה	c/5454	HC/Np
10:7	6	וְ/רַעְמָ֖ה	c/7484	HC/Np
10:7	7	וְ/סַבְתְּכָ֑א	c/5455	HC/Np
10:7	8	וּ/בְנֵ֥י	c/1121 a	HC/Ncmpc
10:7	9	רַעְמָ֖ה	7484	HNp
10:7	10	שְׁבָ֥א	7614	HNp
10:7	11	וּ/דְדָֽן	c/1719 a	HC/Np
10:8	1	וְ/כ֖וּשׁ	c/3568 a	HC/Np
10:8	2	יָלַ֣ד	3205	HVqp3ms
10:8	3	אֶת	853	HTo
10:8	4	נִמְרֹ֑ד	5248	HNp
10:8	5	ה֣וּא	1931	HPp3ms
10:8	6	הֵחֵ֔ל	2490 c	HVhp3ms
10:8	7	לִֽ/הְי֥וֹת	l/1961	HR/Vqc
10:8	8	גִּבֹּ֖ר	1368	HAamsa
10:8	9	בָּ/אָֽרֶץ	b/776	HRd/Ncbsa
10:9	1	הֽוּא	1931	HPp3ms
10:9	2	הָיָ֥ה	1961	HVqp3ms
10:9	3	גִבֹּֽר	1368	HAamsc
10:9	4	צַ֖יִד	6718 a	HNcmsa
10:9	5	לִ/פְנֵ֣י	l/6440	HR/Ncbpc
10:9	6	יְהוָ֑ה	3068	HNp
10:9	7	עַל	5921 a	HR
10:9	8	כֵּן֙	3651 c	HTm
10:9	9	יֵֽאָמַ֔ר	559	HVNi3ms
10:9	10	כְּ/נִמְרֹ֛ד	k/5248	HR/Np
10:9	11	גִּבּ֥וֹר	1368	HAamsc
10:9	12	צַ֖יִד	6718 a	HNcmsa
10:9	13	לִ/פְנֵ֥י	l/6440	HR/Ncbpc
10:9	14	יְהוָֽה	3068	HNp
10:10	1	וַ/תְּהִ֨י	c/1961	HC/Vqw3fs
10:10	2	רֵאשִׁ֤ית	7225	HNcfsc
10:10	3	מַמְלַכְתּ/וֹ֙	4467	HNcfsc/Sp3ms
10:10	4	בָּבֶ֔ל	894	HNp
10:10	5	וְ/אֶ֖רֶךְ	c/751	HC/Np
10:10	6	וְ/אַכַּ֣ד	c/390	HC/Np
10:10	7	וְ/כַלְנֵ֑ה	c/3641 a	HC/Np
10:10	8	בְּ/אֶ֖רֶץ	b/776	HR/Ncbsc
10:10	9	שִׁנְעָֽר	8152	HNp
10:11	1	מִן	4480 a	HR
10:11	2	הָ/אָ֥רֶץ	d/776	HTd/Ncbsa
10:11	3	הַ/הִ֖וא	d/1931	HTd/Pp3fs
10:11	4	יָצָ֣א	3318	HVqp3ms
10:11	5	אַשּׁ֑וּר	804	HNp
10:11	6	וַ/יִּ֨בֶן֙	c/1129	HC/Vqw3ms
10:11	7	אֶת	853	HTo
10:11	8	נִ֣ינְוֵ֔ה	5210	HNp
10:11	9	וְ/אֶת	c/853	HC/To
10:11	10	רְחֹבֹ֥ת	7344	HNp
10:11	11	עִ֖יר	5892 b	HNp
10:11	12	וְ/אֶת	c/853	HC/To
