reference	verse_word	global_word	time	word
Genesis-9-18	1	0	0.000000	וַ/יִּֽהְי֣וּ
Genesis-9-18	2	1	2.428343	בְנֵי־
Genesis-9-18	3	2	2.794522	נֹ֗חַ
Genesis-9-18	4	3	3.777422	הַ/יֹּֽצְאִים֙
Genesis-9-18	5	4	4.432689	מִן־
Genesis-9-18	6	5	4.741050	הַ/תֵּבָ֔ה
Genesis-9-18	7	6	5.511953	שֵׁ֖ם
Genesis-9-18	8	7	5.858859	וְ/חָ֣ם
Genesis-9-18	9	8	6.263583	וָ/יָ֑פֶת
Genesis-9-18	10	9	6.533399	וְ/חָ֕ם
Genesis-9-18	11	10	7.285029	ה֖וּא
Genesis-9-18	12	11	7.921023	אֲבִ֥י
Genesis-9-18	13	12	8.325747	כְנָֽעַן׃
Genesis-9-19	1	13	9.096649	שְׁלֹשָׁ֥ה
Genesis-9-19	2	14	9.906097	אֵ֖לֶּה
Genesis-9-19	3	15	10.387911	בְּנֵי־
Genesis-9-19	4	16	10.734817	נֹ֑חַ
Genesis-9-19	5	17	11.255176	וּ/מֵ/אֵ֖לֶּה
Genesis-9-19	6	18	11.929716	נָֽפְצָ֥ה
Genesis-9-19	7	19	12.488620	כָל־
Genesis-9-19	8	20	12.816254	הָ/אָֽרֶץ׃
Genesis-9-20	1	21	13.375158	וַ/יָּ֥חֶל
Genesis-9-20	2	22	14.300241	נֹ֖חַ
Genesis-9-20	3	23	14.762783	אִ֣ישׁ
Genesis-9-20	4	24	15.225324	הָֽ/אֲדָמָ֑ה
Genesis-9-20	5	25	15.784229	וַ/יִּטַּ֖ע
Genesis-9-20	6	26	16.362405	כָּֽרֶם׃
Genesis-9-21	1	27	16.979127	וַ/יֵּ֥שְׁתְּ
Genesis-9-21	2	28	18.058391	מִן־
Genesis-9-21	3	29	18.366752	הַ/יַּ֖יִן
Genesis-9-21	4	30	18.655840	וַ/יִּשְׁכָּ֑ר
Genesis-9-21	5	31	19.253290	וַ/יִּתְגַּ֖ל
Genesis-9-21	6	32	19.889284	בְּ/ת֥וֹךְ
Genesis-9-21	7	33	20.236190	אָהֳלֹֽ/ה׃
Genesis-9-22	1	34	21.142001	וַ/יַּ֗רְא
Genesis-9-22	2	35	22.972894	חָ֚ם
