reference	words
Genesis-9-18	13
Genesis-9-19	8
Genesis-9-20	6
Genesis-9-21	7
Genesis-9-22	11
Genesis-9-23	21
Genesis-9-24	10
Genesis-9-25	7
Genesis-9-26	9
Genesis-9-27	10
Genesis-9-28	9
Genesis-9-29	10
Genesis-10-1	12
Genesis-10-2	9
Genesis-10-3	5
Genesis-10-4	6
Genesis-10-5	9
Genesis-10-6	6
Genesis-10-7	11
Genesis-10-8	9
Genesis-10-9	14
Genesis-10-10	9
Genesis-10-11	13
Genesis-10-12	9
Genesis-10-13	10
Genesis-10-14	10
Genesis-10-15	7
Genesis-10-16	6
Genesis-10-17	6
Genesis-10-18	10
Genesis-10-19	15
Genesis-10-20	7
Genesis-10-21	11
Genesis-10-22	7
Genesis-10-23	6
Genesis-10-24	8
Genesis-10-25	14
Genesis-10-26	10
Genesis-10-27	6
Genesis-10-28	6
Genesis-10-29	10
Genesis-10-30	7
Genesis-10-31	7
Genesis-10-32	12
