after_verse	nominal	candidate_time	dbfs30ms	distance	nearby_label_index	label_ref	label_word	label_text
17	219.726483	218.476483	-58.065	-1.250000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.181483	-57.989	-1.545000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	219.011483	-57.964	-0.715000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.781483	-57.908	-0.945000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.201483	-57.875	-1.525000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.166483	-57.865	-1.560000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.406483	-57.863	-1.320000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.261483	-57.822	-1.465000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.276483	-57.698	-1.450000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.396483	-57.548	-1.330000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	219.061483	-57.528	-0.665000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.301483	-57.302	-1.425000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.716483	-57.122	-1.010000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.731483	-57.046	-0.995000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.381483	-57.030	-1.345000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.371483	-57.018	-1.355000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.996483	-56.975	-0.730000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.796483	-56.916	-0.930000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.701483	-56.897	-1.025000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.431483	-56.843	-1.295000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.641483	-56.817	-1.085000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.901483	-56.737	-0.825000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.741483	-56.726	-0.985000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.756483	-56.668	-0.970000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	219.031483	-56.580	-0.695000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	219.126483	-56.551	-0.600000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	219.101483	-56.476	-0.625000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	219.116483	-56.394	-0.610000	254	Genesis-14-18	1	וּ/מַלְכִּי־
17	219.726483	218.501483	-56.389	-1.225000	253	Genesis-14-17	20	הַ/מֶּֽלֶךְ׃
17	219.726483	218.966483	-56.369	-0.760000	254	Genesis-14-18	1	וּ/מַלְכִּי־
18	226.703151	227.563151	-57.986	+0.860000	266	Genesis-14-19	2	וַ/יֹּאמַ֑ר
18	226.703151	225.263151	-57.884	-1.440000	264	Genesis-14-18	11	עֶלְיֽוֹן׃
18	226.703151	227.578151	-57.667	+0.875000	266	Genesis-14-19	2	וַ/יֹּאמַ֑ר
18	226.703151	225.253151	-57.464	-1.450000	264	Genesis-14-18	11	עֶלְיֽוֹן׃
18	226.703151	225.608151	-57.399	-1.095000	264	Genesis-14-18	11	עֶלְיֽוֹן׃
18	226.703151	225.293151	-57.375	-1.410000	264	Genesis-14-18	11	עֶלְיֽוֹן׃
18	226.703151	227.538151	-57.226	+0.835000	266	Genesis-14-19	2	וַ/יֹּאמַ֑ר
18	226.703151	225.278151	-57.157	-1.425000	264	Genesis-14-18	11	עֶלְיֽוֹן׃
18	226.703151	225.598151	-57.102	-1.105000	264	Genesis-14-18	11	עֶלְיֽוֹן׃
