global_index	reference	verse_word	time	word
219	Genesis-14-16	1	190.393644	וַ/יָּ֕שֶׁב
220	Genesis-14-16	2	192.185992	אֵ֖ת
221	Genesis-14-16	3	192.918349	כָּל־
222	Genesis-14-16	4	193.284528	הָ/רְכֻ֑שׁ
223	Genesis-14-16	5	194.074703	וְ/גַם֩
224	Genesis-14-16	6	194.672152	אֶת־
225	Genesis-14-16	7	195.924869	ל֨וֹט
226	Genesis-14-16	8	196.348865	אָחִ֤י/ו
227	Genesis-14-16	9	197.139040	וּ/רְכֻשׁ/וֹ֙
228	Genesis-14-16	10	197.775035	הֵשִׁ֔יב
229	Genesis-14-16	11	198.661573	וְ/גַ֥ם
230	Genesis-14-16	12	199.239750	אֶת־
231	Genesis-14-16	13	199.490293	הַ/נָּשִׁ֖ים
232	Genesis-14-16	14	199.933562	וְ/אֶת־
233	Genesis-14-16	15	200.453921	הָ/עָֽם׃
234	Genesis-14-17	1	201.012825	וַ/יֵּצֵ֣א
235	Genesis-14-17	2	203.017172	מֶֽלֶךְ־
236	Genesis-14-17	3	203.325533	סְדֹם֮
237	Genesis-14-17	4	205.850239	לִ/קְרָאת/וֹ֒
238	Genesis-14-17	5	207.893130	אַחֲרֵ֣י
239	Genesis-14-17	6	208.779668	שׁוּב֗/וֹ
240	Genesis-14-17	7	209.993839	מֵֽ/הַכּוֹת֙
241	Genesis-14-17	8	211.150193	אֶת־
242	Genesis-14-17	9	211.497099	כְּדָר־
243	Genesis-14-17	10	212.537818	לָעֹ֔מֶר
244	Genesis-14-17	11	213.154540	וְ/אֶת־
245	Genesis-14-17	12	213.674899	הַ/מְּלָכִ֖ים
246	Genesis-14-17	13	214.118168	אֲשֶׁ֣ר
247	Genesis-14-17	14	214.561437	אִתּ֑/וֹ
248	Genesis-14-17	15	215.313067	אֶל־
249	Genesis-14-17	16	215.544337	עֵ֣מֶק
250	Genesis-14-17	17	216.064697	שָׁוֵ֔ה
251	Genesis-14-17	18	216.662146	ה֖וּא
252	Genesis-14-17	19	217.201778	עֵ֥מֶק
253	Genesis-14-17	20	217.702864	הַ/מֶּֽלֶךְ׃
254	Genesis-14-18	1	219.726483	וּ/מַלְכִּי־
255	Genesis-14-18	2	220.246843	צֶ֙דֶק֙
256	Genesis-14-18	3	220.767202	מֶ֣לֶךְ
257	Genesis-14-18	4	221.345379	שָׁלֵ֔ם
258	Genesis-14-18	5	222.212644	הוֹצִ֖יא
259	Genesis-14-18	6	222.578823	לֶ֣חֶם
260	Genesis-14-18	7	222.887184	וָ/יָ֑יִן
261	Genesis-14-18	8	223.542451	וְ/ה֥וּא
262	Genesis-14-18	9	224.024265	כֹהֵ֖ן
263	Genesis-14-18	10	224.544624	לְ/אֵ֥ל
264	Genesis-14-18	11	225.142073	עֶלְיֽוֹן׃
265	Genesis-14-19	1	226.703151	וַֽ/יְבָרְכֵ֖/הוּ
266	Genesis-14-19	2	227.281328	וַ/יֹּאמַ֑ר
267	Genesis-14-19	3	228.148593	בָּר֤וּךְ
268	Genesis-14-19	4	228.591862	אַבְרָם֙
269	Genesis-14-19	5	229.150766	לְ/אֵ֣ל
270	Genesis-14-19	6	229.478400	עֶלְי֔וֹן
271	Genesis-14-19	7	229.960214	קֹנֵ֖ה
272	Genesis-14-19	8	230.364938	שָׁמַ֥יִם
273	Genesis-14-19	9	231.116568	וָ/אָֽרֶץ׃
274	Genesis-14-20	1	232.138014	וּ/בָרוּךְ֙
275	Genesis-14-20	2	232.523465	אֵ֣ל
276	Genesis-14-20	3	232.889644	עֶלְי֔וֹן
277	Genesis-14-20	4	233.352185	אֲשֶׁר־
278	Genesis-14-20	5	233.641273	מִגֵּ֥ן
279	Genesis-14-20	6	234.315813	צָרֶ֖י/ךָ
280	Genesis-14-20	7	234.836172	בְּ/יָדֶ֑/ךָ
281	Genesis-14-20	8	235.973254	וַ/יִּתֶּן־
282	Genesis-14-20	9	236.320160	ל֥/וֹ
283	Genesis-14-20	10	236.898337	מַעֲשֵׂ֖ר
284	Genesis-14-20	11	238.864138	מִ/כֹּֽל׃
