threshold_db	duration	silence_start	silence_end	midpoint
-20	0.02	199.253970	199.339500	199.296735
-20	0.02	199.385060	199.428530	199.406795
-20	0.02	199.503110	199.645170	199.574140
-20	0.02	199.711450	199.746530	199.728990
-20	0.02	199.777030	199.966530	199.871780
-20	0.02	200.165350	200.314080	200.239715
-20	0.02	200.860230	202.407460	201.633845
-20	0.02	202.667280	202.791360	202.729320
-20	0.02	202.981430	203.003020	202.992225
-20	0.02	203.309770	203.469020	203.389395
-20	0.02	203.556120	203.596190	203.576155
-20	0.02	205.681700	205.771700	205.726700
-20	0.02	205.771700	206.167400	205.969550
-20	0.02	206.242600	206.344800	206.293700
-20	0.02	206.530700	206.630200	206.580450
-20	0.02	207.740200	208.100500	207.920350
-20	0.02	208.233100	208.314600	208.273850
-20	0.02	208.584400	208.726400	208.655400
-20	0.02	208.811200	208.848000	208.829600
-20	0.02	208.864500	208.892400	208.878450
-20	0.02	209.896400	210.314900	210.105650
-20	0.02	210.662300	210.774000	210.718150
-20	0.02	211.020000	211.299800	211.159900
-20	0.02	211.400600	211.538100	211.469350
-20	0.02	211.594900	211.632200	211.613550
-20	0.02	212.226900	212.254000	212.240450
-20	0.02	212.472100	212.649100	212.560600
-20	0.02	212.764500	212.871800	212.818150
-20	0.02	212.938900	212.963400	212.951150
-20	0.02	213.175700	213.298300	213.237000
-20	0.02	213.307900	213.386100	213.347000
-20	0.02	213.464800	213.513600	213.489200
-20	0.02	213.598800	213.737300	213.668050
-20	0.02	213.980700	214.097700	214.039200
-20	0.02	214.354700	214.770500	214.562600
-20	0.02	214.938900	214.997900	214.968400
-20	0.02	215.210000	215.231300	215.220650
-20	0.02	215.231300	215.266800	215.249050
-20	0.02	215.372900	215.572000	215.472450
-20	0.02	215.718700	215.769300	215.744000
-20	0.02	216.054600	216.362000	216.208300
-20	0.02	216.658300	216.844800	216.751550
-20	0.02	216.933200	217.115900	217.024550
-20	0.02	217.177300	217.289800	217.233550
-20	0.02	217.376400	217.467900	217.422150
-20	0.02	217.896800	219.202300	218.549550
-20	0.02	219.209800	219.277000	219.243400
-20	0.02	219.469500	219.579000	219.524250
-20	0.02	219.678000	219.823100	219.750550
-20	0.02	220.163400	220.235900	220.199650
-20	0.02	220.242400	220.318900	220.280650
-20	0.02	220.695300	220.833200	220.764250
-20	0.02	220.950600	220.978700	220.964650
-20	0.02	221.241000	221.286300	221.263650
-20	0.02	221.412200	221.571700	221.491950
-20	0.02	221.639700	221.693300	221.666500
-20	0.02	221.869800	221.966800	221.918300
-20	0.02	222.090200	222.187800	222.139000
-20	0.02	222.741000	222.790500	222.765750
-20	0.02	222.790600	223.287900	223.039250
-20	0.02	223.527700	223.562100	223.544900
-20	0.02	223.562100	223.591300	223.576700
-20	0.02	223.975400	224.030200	224.002800
-20	0.02	224.150500	224.201200	224.175850
-20	0.02	225.036600	225.644000	225.340300
-20	0.02	225.822500	225.861600	225.842050
-20	0.02	226.139600	226.219000	226.179300
-20	0.02	226.578200	226.612200	226.595200
-20	0.02	226.871600	226.943200	226.907400
-20	0.02	227.269000	227.609900	227.439450
-20	0.02	228.019100	228.163600	228.091350
-20	0.02	228.305800	228.356200	228.331000
-20	0.02	228.594700	228.657400	228.626050
-20	0.02	228.726100	228.791200	228.758650
