reference	start	end	pockettorah_tokens	boundary_basis
Genesis-15-7	0.000000	14.241700	14	audited low-volume midpoint -20dB 13.815300-14.668100
Genesis-15-8	14.241700	18.222600	7	audited low-volume midpoint -20dB 17.942800-18.502400
Genesis-15-9	18.222600	33.108900	12	audited low-volume midpoint -20dB 32.712500-33.505300
Genesis-15-10	33.108900	44.667600	17	audited low-volume midpoint -20dB 43.869100-45.466100
Genesis-15-11	44.667600	50.640350	7	audited low-volume midpoint -20dB 50.040100-51.240600
Genesis-15-12	50.640350	61.051950	13	audited low-volume midpoint -20dB 60.649200-61.454700
Genesis-15-13	61.051950	75.471200	17	audited low-volume midpoint -20dB 75.165400-75.777000
Genesis-15-14	75.471200	84.698150	12	audited low-volume midpoint -20dB 84.346500-85.049800
Genesis-15-15	84.698150	91.611300	8	audited low-volume midpoint -20dB 91.315800-91.906800
Genesis-15-16	91.611300	99.710650	11	audited low-volume midpoint -20dB 99.258300-100.163000
Genesis-15-17	99.710650	110.427000	15	audited low-volume midpoint -20dB 109.970000-110.884000
Genesis-15-18	110.427000	127.587500	20	audited low-volume midpoint -20dB 126.842000-128.333000
Genesis-15-19	127.587500	132.520500	6	audited low-volume midpoint -20dB 132.167000-132.874000
Genesis-15-20	132.520500	136.236000	6	audited low-volume midpoint -20dB 135.843000-136.629000
Genesis-15-21	136.236000	142.736500	8	audited low-volume midpoint -28dB 141.398000-144.075000
Genesis-16-1	142.736500	152.405500	11	audited low-volume midpoint -20dB 152.101000-152.710000
Genesis-16-2	152.405500	168.105500	20	audited low-volume midpoint -20dB 167.606000-168.605000
Genesis-16-3	168.105500	186.249000	21	audited low-volume midpoint -20dB 185.460000-187.038000
Genesis-16-4	186.249000	194.025500	10	audited low-volume midpoint -20dB 193.619000-194.432000
Genesis-16-5	194.025500	214.704500	19	audited low-volume midpoint -28dB 213.305000-216.104000
Genesis-16-6	214.704500	232.868500	15	audited low-volume midpoint -20dB 232.091000-233.646000
Genesis-16-7	232.868500	243.772000	11	audited low-volume midpoint -20dB 243.420000-244.124000
Genesis-16-8	243.772000	258.875500	15	audited low-volume midpoint -20dB 258.322000-259.429000
Genesis-16-9	258.875500	266.946000	10	audited low-volume midpoint -20dB 266.507000-267.385000
Genesis-16-10	266.946000	274.439000	11	audited low-volume midpoint -20dB 273.986000-274.892000
Genesis-16-11	274.439000	285.240000	16	audited low-volume midpoint -20dB 284.359000-286.121000
Genesis-16-12	285.240000	296.005000	14	audited low-volume midpoint -20dB 295.060000-296.950000
Genesis-16-13	296.005000	308.746500	15	audited low-volume midpoint -20dB 307.963000-309.530000
Genesis-16-14	308.746500	316.237500	12	audited low-volume midpoint -20dB 315.847000-316.628000
Genesis-16-15	316.237500	327.996500	12	audited low-volume midpoint -20dB 327.783000-328.210000
Genesis-16-16	327.996500	333.395500	11	audited low-volume midpoint -20dB 333.229000-333.562000
Genesis-17-1	333.395500	350.497000	20	audited low-volume midpoint -20dB 350.054000-350.940000
Genesis-17-2	350.497000	356.296000	8	audited low-volume midpoint -20dB 356.024000-356.568000
Genesis-17-3	356.296000	362.167500	8	audited low-volume midpoint -20dB 361.983000-362.352000
Genesis-17-4	362.167500	368.236000	8	audited low-volume midpoint -20dB 367.669000-368.803000
Genesis-17-5	368.236000	379.236500	14	audited low-volume midpoint -20dB 378.933000-379.540000
Genesis-17-6	379.236500	389.799250	9	end of source
