reference	pockettorah_tokens
Genesis-15-7	14
Genesis-15-8	7
Genesis-15-9	12
Genesis-15-10	17
Genesis-15-11	7
Genesis-15-12	13
Genesis-15-13	17
Genesis-15-14	12
Genesis-15-15	8
Genesis-15-16	11
Genesis-15-17	15
Genesis-15-18	20
Genesis-15-19	6
Genesis-15-20	6
Genesis-15-21	8
Genesis-16-1	11
Genesis-16-2	20
Genesis-16-3	21
Genesis-16-4	10
Genesis-16-5	19
Genesis-16-6	15
Genesis-16-7	11
Genesis-16-8	15
Genesis-16-9	10
Genesis-16-10	11
Genesis-16-11	16
Genesis-16-12	14
Genesis-16-13	15
Genesis-16-14	12
Genesis-16-15	12
Genesis-16-16	11
Genesis-17-1	20
Genesis-17-2	8
Genesis-17-3	8
Genesis-17-4	8
Genesis-17-5	14
Genesis-17-6	9
