reference	pockettorah_words	first_word_onset	clip_start	last_word_onset	next_verse_onset	clip_end	first_word	last_word
Genesis-19-4	15	48.404496	48.314496	62.112420	63.125042	63.090042	טֶרֶם֮	מִ/קָּצֶֽה׃
Genesis-19-5	15	63.125042	63.035042	75.235177	75.979144	75.944144	וַ/יִּקְרְא֤וּ	אֹתָֽ/ם׃
Genesis-19-6	7	75.979144	75.889144	84.886087	85.816046	85.781046	וַ/יֵּצֵ֧א	אַחֲרָֽי/ו׃
Genesis-19-7	5	85.816046	85.726046	88.626589	89.742540	89.707540	וַ/יֹּאמַ֑ר	תָּרֵֽעוּ׃
Genesis-19-8	29	89.742540	89.652540	111.104050	111.992677	111.957677	הִנֵּה־	קֹרָתִֽ/י׃
Genesis-19-9	20	111.992677	111.902677	129.641236	130.509198	130.474198	וַ/יֹּאמְר֣וּ ׀	הַ/דָּֽלֶת׃
Genesis-19-10	12	130.509198	130.419198	141.854700	142.825991	142.790991	וַ/יִּשְׁלְח֤וּ	סָגָֽרוּ׃
Genesis-19-11	13	142.825991	142.735991	153.737512	154.419482	154.384482	וְֽ/אֶת־	הַ/פָּֽתַח׃
Genesis-19-12	18	154.419482	154.329482	167.728231	168.451533	168.416533	וַ/יֹּאמְר֨וּ	הַ/מָּקֽוֹם׃
Genesis-19-13	15	168.451533	168.361533	177.689127	179.342388	179.307388	כִּֽי־	לְ/שַׁחֲתָֽ/הּ׃
Genesis-19-14	22	179.342388	179.252388	196.143651	197.052944	197.017944	וַ/יֵּצֵ֨א	חֲתָנָֽי/ו׃
Genesis-19-15	19	197.052944	196.962944	211.456978	211.952957	211.917957	וּ/כְמוֹ֙	הָ/עִֽיר׃
Genesis-19-16	16	211.952957	211.862957	230.428146	231.254776	231.219776	וַֽ/יִּתְמַהְמָ֓הּ ׀	לָ/עִֽיר׃
Genesis-19-17	19	231.254776	231.164776	247.911378	248.944666	248.909666	וַ/יְהִי֩	תִּסָּפֶֽה׃
Genesis-19-18	6	248.944666	248.854666	252.292519	253.222479	253.187479	וַ/יֹּ֥אמֶר	אֲדֹנָֽ/י׃
Genesis-19-19	23	253.222479	253.132479	276.161472	276.843442	276.808442	הִנֵּה־	וָ/מַֽתִּי׃
Genesis-19-20	17	276.843442	276.753442	292.880071	299.494000	299.494000	הִנֵּה־	נַפְשִֽׁ/י׃
