reference	last_token_onset	next_verse_onset	new_cut	old_cut_if_known
Genesis 19:1	16.877823	17.644082	17.618481	17.1859
Genesis 19:2	36.418356	37.203655	37.178655	36.0018
Genesis 19:3	47.433206	48.404496	48.040791	47.07735
Genesis 19:4	62.112420	63.125042	62.842635	62.0118
Genesis 19:5	75.235177	75.979144	75.959791	74.8701
Genesis 19:6	84.886087	85.816046	85.756326	86.02
Genesis 19:7	88.626589	89.742540	89.562496	88.8424
Genesis 19:8	111.104050	111.992677	111.967677	111.088
Genesis 19:9	129.641236	130.509198	130.484198	129.1745
Genesis 19:10	141.854700	142.825991	142.800991	142.0485
Genesis 19:11	153.737512	154.419482	154.166446	154.1665
Genesis 19:12	167.728231	168.451533	168.321575	166.2525
Genesis 19:13	177.689127	179.342388	178.949227	178.923
Genesis 19:14	196.143651	197.052944	196.666701	196.4345
Genesis 19:15	211.456978	211.952957	211.855028	211.392
Genesis 19:16	230.428146	231.254776	231.217523	231.232
Genesis 19:17	247.911378	248.944666	248.802501	248.968
Genesis 19:18	252.292519	253.222479	252.902020	252.6125
Genesis 19:19	276.161472	276.843442	276.643457	276.625
