reference	method	evidence	actual_notion_audio
Genesis-19-21	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-21-study.mp3
Genesis-19-22	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-22-study.mp3
Genesis-19-23	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-23-study.mp3
Genesis-19-24	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-24-study.mp3
Genesis-19-25	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-25-study.mp3
Genesis-19-26	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-26-study.mp3
Genesis-19-27	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-27-study.mp3
Genesis-19-28	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-28-study.mp3
Genesis-19-29	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-29-study.mp3
Genesis-19-30	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-30-study.mp3
Genesis-19-31	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-31-study.mp3
Genesis-19-32	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-32-study.mp3
Genesis-19-33	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-33-study.mp3
Genesis-19-34	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-34-study.mp3
Genesis-19-35	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-35-study.mp3
Genesis-19-36	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-19-36-study.mp3
