reference	label_next	cut	threshold	pause_start	pause_end	pause_dur	delta	status
Genesis-19-21->Genesis-19-22	12.943298	13.582200	34	13.129300	14.035100	0.906	+0.639	measured
Genesis-19-22->Genesis-19-23	25.389194	25.892750	34	25.542700	26.242800	0.700	+0.504	measured
Genesis-19-23->Genesis-19-24	30.311824	30.797950	34	30.420800	31.175100	0.754	+0.486	measured
Genesis-19-24->Genesis-19-25	41.550283	41.890450	34	41.749900	42.031000	0.281	+0.340	measured
Genesis-19-25->Genesis-19-26	51.465203	52.100000	34	51.709400	52.490600	0.781	+0.635	measured
Genesis-19-26->Genesis-19-27	57.014772	57.755950	34	57.019000	58.492900	1.474	+0.741	measured
Genesis-19-27->Genesis-19-28	65.443616	65.926000	34	65.562600	66.289400	0.727	+0.482	measured
Genesis-19-28->Genesis-19-29	80.536586	81.067600	34	80.733200	81.402000	0.669	+0.531	measured
Genesis-19-29->Genesis-19-30	96.465475	97.137350	34	96.652300	97.622400	0.970	+0.672	measured
Genesis-19-30->Genesis-19-31	113.392822	113.565000	34	113.379000	113.751000	0.372	+0.172	measured
Genesis-19-31->Genesis-19-32	125.536858	126.012500	34	125.644000	126.381000	0.737	+0.476	measured
Genesis-19-32->Genesis-19-33	135.451779	137.024000	34	135.535000	138.513000	2.978	+1.572	measured
Genesis-19-33->Genesis-19-34	151.728967	152.535500	34	152.124000	152.947000	0.823	+0.807	measured
Genesis-19-34->Genesis-19-35	170.955090	171.513000	34	171.103000	171.923000	0.820	+0.558	measured
Genesis-19-35->Genesis-19-36	186.117720	186.959000	34	186.362000	187.556000	1.194	+0.841	measured
Genesis-19-36->Genesis-19-37	191.853049	192.517500	34	192.030000	193.005000	0.975	+0.664	measured
Genesis-19-37->Genesis-19-38	200.281892	200.581500	34	200.322000	200.841000	0.519	+0.300	measured
Genesis-19-38->Genesis-20-1	210.359353	211.163000	34	210.716000	211.610000	0.894	+0.804	measured
Genesis-20-1->Genesis-20-2	222.735589	223.251500	34	222.987000	223.516000	0.529	+0.516	measured
Genesis-20-2->Genesis-20-3	236.040623	236.533500	34	236.225000	236.842000	0.617	+0.493	measured
Genesis-20-3->Genesis-20-4	250.019035	250.421000	34	250.216000	250.626000	0.410	+0.402	measured
Genesis-20-4->Genesis-20-5	260.050056	260.675500	34	260.202000	261.149000	0.947	+0.625	measured
Genesis-20-5->Genesis-20-6	272.286972	272.666000	34	272.373000	272.959000	0.586	+0.379	measured
Genesis-20-6->Genesis-20-7	293.626110	294.378000	34	294.001000	294.755000	0.754	+0.752	measured
Genesis-20-7->Genesis-20-8	309.554999	310.024500	34	309.655000	310.394000	0.739	+0.470	measured
Genesis-20-8->Genesis-20-9	323.208332	323.916000	34	323.717000	324.115000	0.398	+0.708	measured
Genesis-20-9->Genesis-20-10	346.312187	348.397000	34	348.048000	348.746000	0.698	+2.085	measured
Genesis-20-10->Genesis-20-11	353.696133	356.351000	20	356.104000	356.598000	0.494	+2.655	measured
Genesis-20-11->Genesis-20-12	363.959353	366.680500	20	366.492000	366.869000	0.377	+2.721	measured
Genesis-20-12->Genesis-20-13	373.781394	374.179500	34	373.945000	374.414000	0.469	+0.398	measured
Genesis-20-13->Genesis-20-14	397.163888	397.633500	34	397.364000	397.903000	0.539	+0.470	measured
Genesis-20-14->Genesis-20-15	409.609784	410.799000	34	409.875000	411.723000	1.848	+1.189	measured
Genesis-20-15->Genesis-20-16	417.318809	418.380000	34	417.654000	419.106000	1.452	+1.061	measured
Genesis-20-16->Genesis-20-17	433.410237	434.061000	34	433.580000	434.542000	0.962	+0.651	measured
Genesis-20-17->Genesis-20-18	445.298854	445.809500	34	445.440000	446.179000	0.739	+0.511	measured
Genesis-20-18->Genesis-21-1	454.238536	455.447500	34	454.412000	456.483000	2.071	+1.209	measured
Genesis-21-1->Genesis-21-2	465.848514	466.185500	34	465.971000	466.400000	0.429	+0.337	measured
Genesis-21-2->Genesis-21-3	477.783570	478.614500	34	478.230000	478.999000	0.769	+0.831	measured
Genesis-21-3->Genesis-21-4	486.421394	486.855500	34	486.645000	487.066000	0.421	+0.434	measured

VERSE_SPANS
reference	start	end	duration
Genesis-19-21	0.000000	13.582200	13.582
Genesis-19-22	13.582200	25.892750	12.311
Genesis-19-23	25.892750	30.797950	4.905
Genesis-19-24	30.797950	41.890450	11.093
Genesis-19-25	41.890450	52.100000	10.210
Genesis-19-26	52.100000	57.755950	5.656
Genesis-19-27	57.755950	65.926000	8.170
Genesis-19-28	65.926000	81.067600	15.142
Genesis-19-29	81.067600	97.137350	16.070
Genesis-19-30	97.137350	113.565000	16.428
Genesis-19-31	113.565000	126.012500	12.448
Genesis-19-32	126.012500	137.024000	11.011
Genesis-19-33	137.024000	152.535500	15.512
Genesis-19-34	152.535500	171.513000	18.977
Genesis-19-35	171.513000	186.959000	15.446
Genesis-19-36	186.959000	192.517500	5.558
Genesis-19-37	192.517500	200.581500	8.064
Genesis-19-38	200.581500	211.163000	10.582
Genesis-20-1	211.163000	223.251500	12.088
Genesis-20-2	223.251500	236.533500	13.282
Genesis-20-3	236.533500	250.421000	13.887
Genesis-20-4	250.421000	260.675500	10.255
Genesis-20-5	260.675500	272.666000	11.990
Genesis-20-6	272.666000	294.378000	21.712
Genesis-20-7	294.378000	310.024500	15.647
Genesis-20-8	310.024500	323.916000	13.892
Genesis-20-9	323.916000	348.397000	24.481
Genesis-20-10	348.397000	356.351000	7.954
Genesis-20-11	356.351000	366.680500	10.330
Genesis-20-12	366.680500	374.179500	7.499
Genesis-20-13	374.179500	397.633500	23.454
Genesis-20-14	397.633500	410.799000	13.165
Genesis-20-15	410.799000	418.380000	7.581
Genesis-20-16	418.380000	434.061000	15.681
Genesis-20-17	434.061000	445.809500	11.748
Genesis-20-18	445.809500	455.447500	9.638
Genesis-21-1	455.447500	466.185500	10.738
Genesis-21-2	466.185500	478.614500	12.429
Genesis-21-3	478.614500	486.855500	8.241
Genesis-21-4	486.855500	497.423750	10.568
