boundary	prev_last_labels	next_first_labels	nearby_pauses
Genesis-20-8->Genesis-20-9	319.284160,319.818219,320.421938,322.070555,322.581394	323.208332,324.531870,325.971507,327.852323,328.920441	38:321.076-321.164(0.088);38:321.164-321.231(0.067);38:323.748-323.796(0.048);38:323.939-324.009(0.070);38:324.009-324.059(0.050);34:320.870-321.299(0.429);34:321.299-321.500(0.201);34:321.500-321.568(0.068);34:323.717-324.115(0.398);30:320.854-321.569(0.715);30:323.694-324.116(0.422);26:320.820-321.585(0.765);26:322.513-322.553(0.040);26:322.870-322.931(0.061);26:323.669-324.116(0.447);26:324.366-324.464(0.098);22:320.809-321.633(0.824);22:322.465-322.566(0.101);22:322.857-322.976(0.119);22:323.598-324.116(0.518);22:324.116-324.159(0.043);22:324.348-324.469(0.121);22:325.240-325.317(0.077);18:320.717-321.635(0.918);18:321.942-322.002(0.060);18:322.330-322.373(0.043);18:322.455-322.613(0.158);18:322.624-322.713(0.089);18:322.763-322.990(0.227);18:323.074-323.118(0.044);18:323.585-324.191(0.606)
Genesis-20-9->Genesis-20-10	341.598536,342.202255,342.596995,343.641892,344.361711	346.312187,346.869466,347.380305,347.891144,348.936042	38:345.220-345.328(0.108);38:345.346-345.395(0.049);38:345.436-345.482(0.046);38:345.482-345.523(0.041);38:345.785-345.832(0.047);38:348.125-348.174(0.049);38:348.212-348.307(0.095);38:348.345-348.434(0.089);34:343.111-343.336(0.225);34:343.914-343.981(0.067);34:345.134-345.914(0.780);34:348.048-348.746(0.698);30:343.106-343.341(0.235);30:343.598-343.687(0.089);30:343.889-343.983(0.094);30:345.119-345.916(0.797);30:348.022-348.761(0.739);26:343.083-343.370(0.287);26:343.541-343.724(0.183);26:343.875-344.022(0.147);26:345.094-345.917(0.823);26:347.119-347.195(0.076);26:348.006-348.769(0.763);22:343.054-343.372(0.318);22:343.522-343.728(0.206);22:343.865-344.026(0.161);22:344.549-344.626(0.077);22:345.056-345.917(0.861);22:347.111-347.196(0.085);22:347.999-348.791(0.792);18:343.042-343.373(0.331);18:343.497-343.737(0.240);18:343.859-344.026(0.167);18:344.204-344.245(0.041);18:344.338-344.426(0.088);18:344.536-344.636(0.100);18:345.026-345.917(0.891);18:346.541-346.582(0.041)
Genesis-20-10->Genesis-20-11	350.213140,350.793639,351.234818,351.606337,352.047516	353.696133,354.485611,355.251870,355.855589,356.784387	38:352.560-352.619(0.059);38:353.313-353.362(0.049);34:350.894-350.950(0.056);34:352.547-353.196(0.649);34:353.196-353.438(0.242);34:354.938-355.052(0.114);34:356.173-356.516(0.343);30:350.634-350.690(0.056);30:350.860-350.954(0.094);30:352.523-353.439(0.916);30:354.935-355.055(0.120);30:355.801-355.870(0.069);30:356.152-356.522(0.370);26:350.625-350.728(0.103);26:350.853-350.978(0.125);26:351.229-351.279(0.050);26:351.949-352.019(0.070);26:352.507-353.445(0.938);26:354.930-355.059(0.129);26:355.060-355.135(0.075);26:355.788-355.916(0.128);22:350.590-350.756(0.166);22:350.849-350.980(0.131);22:351.212-351.279(0.067);22:351.537-351.584(0.047);22:351.944-352.024(0.080);22:352.468-353.450(0.982);22:354.885-355.139(0.254);22:355.762-355.920(0.158);18:350.566-350.756(0.190);18:350.805-350.983(0.178);18:351.192-351.280(0.088);18:351.368-351.419(0.051);18:351.522-351.590(0.068);18:351.929-352.033(0.104);18:352.457-353.451(0.994);18:354.280-354.329(0.049)
Genesis-20-11->Genesis-20-12	359.477902,360.754999,361.126518,361.567697,362.055317	363.959353,364.300000,366.513548,367.883525,368.301484	42:362.644-362.740(0.096);38:362.529-362.587(0.058);38:362.644-362.813(0.169);38:362.924-362.965(0.041);38:363.214-363.310(0.096);38:363.604-363.671(0.067);38:363.730-363.780(0.050);34:362.491-363.385(0.894);34:363.458-363.783(0.325);30:361.927-361.982(0.055);30:362.480-363.783(1.303);26:361.900-361.984(0.084);26:362.445-363.788(1.343);22:360.645-360.701(0.056);22:361.296-361.368(0.072);22:361.455-361.502(0.047);22:361.879-362.029(0.150);22:362.408-363.789(1.381);22:363.928-363.984(0.056);18:360.633-360.715(0.082);18:360.829-360.895(0.066);18:361.040-361.097(0.057);18:361.285-361.395(0.110);18:361.450-361.514(0.064);18:361.829-362.036(0.207);18:362.387-363.795(1.408);18:363.913-363.985(0.072)
Genesis-20-12->Genesis-20-13	370.646700,370.925339,371.366518,372.550736,372.945475	373.781394,376.149829,378.216405,379.609602,381.072459	38:371.664-371.705(0.041);38:371.705-371.821(0.116);38:371.860-371.928(0.068);38:371.928-371.986(0.058);38:372.008-372.075(0.067);38:374.039-374.172(0.133);38:374.194-374.243(0.049);38:374.253-374.340(0.087);34:371.598-372.113(0.515);34:373.945-374.414(0.469);34:374.530-374.729(0.199);30:371.570-372.116(0.546);30:373.933-374.435(0.502);30:374.472-374.729(0.257);26:371.553-372.119(0.566);26:373.922-374.776(0.854);22:371.541-372.123(0.582);22:372.283-372.365(0.082);22:372.917-373.024(0.107);22:373.098-373.164(0.066);22:373.346-373.388(0.042);22:373.882-374.789(0.907);18:371.524-372.126(0.602);18:372.268-372.371(0.103);18:372.397-372.450(0.053);18:372.589-372.658(0.069);18:372.907-373.035(0.128);18:373.088-373.196(0.108);18:373.249-373.434(0.185);18:373.874-374.796(0.922)
Genesis-20-13->Genesis-20-14	394.377493,394.888332,395.677811,396.026110,396.560169	397.163888,398.394546,399.834183,400.693321,402.597357	38:395.141-395.280(0.139);38:395.280-395.380(0.100);38:397.414-397.520(0.106);38:397.520-397.677(0.157);38:397.743-397.793(0.050);38:397.793-397.889(0.096);34:395.021-395.396(0.375);34:397.364-397.903(0.539);30:395.003-395.399(0.396);30:397.345-397.904(0.559);26:394.979-395.407(0.428);26:396.151-396.199(0.048);26:397.321-397.905(0.584);26:398.141-398.228(0.087);26:398.638-398.679(0.041);22:394.966-395.413(0.447);22:395.609-395.650(0.041);22:396.130-396.204(0.074);22:396.390-396.492(0.102);22:396.738-396.812(0.074);22:397.290-397.905(0.615);22:398.109-398.229(0.120);22:398.615-398.684(0.069);18:394.956-395.414(0.458);18:395.553-395.678(0.125);18:395.789-395.882(0.093);18:396.114-396.213(0.099);18:396.380-396.520(0.140);18:396.696-396.831(0.135);18:397.265-397.927(0.662);18:398.107-398.235(0.128)
Genesis-20-14->Genesis-20-15	406.335770,407.403888,407.937947,408.425566,408.936405	409.609784,412.442618,413.232097,413.928695,414.416314	38:409.900-409.968(0.068);38:409.968-410.104(0.136);38:410.104-410.655(0.551);38:410.656-410.733(0.077);38:410.764-410.897(0.133);38:410.917-411.034(0.117);38:411.034-411.078(0.044);38:411.101-411.294(0.193);34:408.040-408.126(0.086);34:408.433-408.515(0.082);34:409.219-409.262(0.043);34:409.875-411.723(1.848);34:411.724-411.827(0.103);30:408.012-408.127(0.115);30:408.410-408.515(0.105);30:408.578-408.637(0.059);30:409.211-409.276(0.065);30:409.841-411.829(1.988);26:407.986-408.128(0.142);26:408.369-408.657(0.288);26:409.197-409.301(0.104);26:409.830-411.829(1.999);22:407.972-408.128(0.156);22:408.358-408.658(0.300);22:409.170-409.305(0.135);22:409.804-411.843(2.039);18:407.554-407.648(0.094);18:407.967-408.152(0.185);18:408.337-408.665(0.328);18:409.092-409.305(0.213);18:409.764-411.927(2.163)
Genesis-20-15->Genesis-20-16	413.928695,414.416314,414.973593,416.111371,416.575770	417.318809,419.780124,421.219761,421.986019,423.263117	38:415.622-415.682(0.060);38:415.682-415.785(0.103);38:417.714-417.927(0.213);38:417.927-418.023(0.096);38:418.052-418.298(0.246);38:418.298-418.487(0.189);38:418.487-418.632(0.145);38:418.653-418.697(0.044);34:415.467-415.785(0.318);34:417.654-419.106(1.452);30:415.414-415.796(0.382);30:415.930-415.972(0.042);30:417.601-419.106(1.505);26:415.076-415.128(0.052);26:415.400-415.798(0.398);26:415.930-416.000(0.070);26:416.709-416.784(0.075);26:416.997-417.054(0.057);26:417.574-419.117(1.543);26:419.348-419.395(0.047);22:415.043-415.128(0.085);22:415.374-415.798(0.424);22:415.914-416.000(0.086);22:416.208-416.262(0.054);22:416.683-416.798(0.115);22:416.942-417.095(0.153);22:417.551-419.135(1.584);22:419.304-419.399(0.095);18:415.028-415.133(0.105);18:415.347-415.804(0.457);18:415.891-416.003(0.112);18:416.168-416.274(0.106);18:416.460-416.515(0.055);18:416.679-416.798(0.119);18:416.928-417.097(0.169);18:417.534-419.147(1.613)
Genesis-20-16->Genesis-20-17	429.509285,430.205883,430.693502,431.552641,431.877720	433.410237,435.035634,435.500033,436.057312,436.452051	38:430.994-431.284(0.290);38:432.362-432.403(0.041);38:433.648-433.793(0.145);38:433.800-434.149(0.349);38:434.225-434.304(0.079);38:434.384-434.429(0.045);38:434.429-434.539(0.110);34:430.926-431.351(0.425);34:431.770-431.840(0.070);34:432.318-432.439(0.121);34:433.580-434.542(0.962);34:434.750-434.803(0.053);30:430.512-430.605(0.093);30:430.892-431.360(0.468);30:431.438-431.485(0.047);30:431.753-431.841(0.088);30:432.283-432.479(0.196);30:433.016-433.084(0.068);30:433.532-434.544(1.012);30:434.743-434.832(0.089);26:430.494-430.607(0.113);26:430.864-431.361(0.497);26:431.434-431.486(0.052);26:431.749-431.850(0.101);26:431.856-431.914(0.058);26:432.265-432.485(0.220);26:432.774-432.848(0.074);26:432.997-433.087(0.090);22:430.368-430.429(0.061);22:430.482-430.607(0.125);22:430.854-431.375(0.521);22:431.426-431.498(0.072);22:431.683-431.914(0.231);22:432.249-432.492(0.243);22:432.769-432.851(0.082);22:432.977-433.088(0.111);18:430.362-430.447(0.085);18:430.472-430.610(0.138);18:430.820-431.376(0.556);18:431.376-431.507(0.131);18:431.647-431.918(0.271);18:432.230-432.497(0.267);18:432.537-432.615(0.078);18:432.735-432.851(0.116)
Genesis-20-17->Genesis-20-18	439.795725,441.003162,441.490781,442.535679,443.859217	445.298854,446.390192,447.040351,447.527970,448.085248	38:442.836-442.910(0.074);38:442.988-443.123(0.135);38:445.489-445.653(0.164);38:445.653-445.876(0.223);38:445.876-446.135(0.259);34:442.736-443.135(0.399);34:445.440-446.179(0.739);30:442.706-443.141(0.435);30:443.751-443.793(0.042);30:444.249-444.298(0.049);30:444.298-444.383(0.085);30:445.406-446.247(0.841);30:447.356-447.444(0.088);26:442.699-443.141(0.442);26:443.747-443.840(0.093);26:444.222-444.389(0.167);26:445.405-446.249(0.844);26:446.586-446.670(0.084);26:447.097-447.149(0.052);26:447.314-447.447(0.133);22:442.691-443.150(0.459);22:443.166-443.218(0.052);22:443.494-443.558(0.064);22:443.705-443.843(0.138);22:444.180-444.391(0.211);22:444.982-445.051(0.069);22:445.388-446.251(0.863);22:446.563-446.706(0.143);18:442.670-443.151(0.481);18:443.164-443.237(0.073);18:443.478-443.565(0.087);18:443.696-443.843(0.147);18:444.171-444.397(0.226);18:444.750-444.823(0.073);18:444.966-445.064(0.098);18:445.232-445.313(0.081)
