time	rms_dbfs	peak_dbfs
371.800	-47.24	-39.86
371.810	-47.28	-41.30
371.820	-47.12	-38.81
371.830	-47.05	-38.76
371.840	-46.73	-40.29
371.850	-46.59	-40.29
371.860	-46.22	-38.78
371.870	-48.10	-40.26
371.880	-48.39	-39.89
371.890	-48.64	-41.43
371.900	-48.89	-41.78
371.910	-48.32	-41.52
371.920	-47.00	-39.11
371.930	-47.36	-40.21
371.940	-47.42	-39.97
371.950	-47.82	-39.91
371.960	-48.10	-40.54
371.970	-47.53	-41.84
371.980	-48.36	-38.76
371.990	-48.00	-40.54
372.000	-46.45	-38.49
372.010	-47.89	-41.21
372.020	-48.12	-42.39
372.030	-47.04	-39.86
372.040	-47.26	-41.03
372.050	-48.65	-42.11
372.060	-47.48	-40.12
372.070	-46.55	-38.62
372.080	-47.04	-40.02
372.090	-47.13	-39.06
372.100	-45.16	-35.73
372.110	-32.43	-23.65
372.120	-23.22	-13.59
372.130	-17.24	-8.73
372.140	-14.68	-6.07
372.150	-15.42	-4.28
372.160	-12.91	-3.10
372.170	-11.22	-2.10
372.180	-9.71	-2.48
372.190	-11.20	-2.59
372.200	-13.97	-4.78
372.210	-14.40	-3.80
372.220	-14.25	-4.87
372.230	-14.95	-6.83
372.240	-15.87	-8.06
372.250	-21.69	-13.49
372.260	-24.47	-13.76
372.270	-27.91	-19.77
372.280	-29.36	-20.94
372.290	-33.75	-25.71
372.300	-31.30	-23.89
372.310	-35.13	-26.96
372.320	-39.11	-30.07
372.330	-40.12	-29.16
372.340	-39.01	-29.56
372.350	-32.32	-24.30
372.360	-29.15	-19.99
372.370	-27.02	-18.32
372.380	-26.63	-18.47
372.390	-25.91	-18.40
372.400	-26.38	-19.24
372.410	-26.85	-19.41
372.420	-26.79	-19.58
372.430	-26.97	-19.28
372.440	-27.41	-19.40
372.450	-25.05	-16.97
372.460	-24.09	-15.48
372.470	-23.29	-15.06
372.480	-21.83	-13.67
372.490	-21.84	-14.42
372.500	-20.28	-12.75
372.510	-20.86	-13.88
372.520	-22.41	-14.68
372.530	-22.24	-15.35
372.540	-24.39	-15.53
372.550	-23.93	-16.35
372.560	-24.14	-17.10
372.570	-25.63	-19.14
372.580	-23.16	-16.80
372.590	-25.00	-19.03
372.600	-28.30	-21.46
372.610	-30.07	-24.68
372.620	-29.58	-24.09
372.630	-29.89	-24.37
372.640	-27.99	-21.47
372.650	-26.22	-17.56
372.660	-23.75	-16.34
372.670	-23.06	-14.54
372.680	-23.33	-15.50
372.690	-23.15	-15.11
372.700	-26.49	-17.73
372.710	-25.51	-16.39
372.720	-25.87	-16.98
372.730	-22.29	-14.63
372.740	-20.85	-14.45
372.750	-21.21	-15.12
372.760	-24.09	-16.18
372.770	-24.65	-18.32
372.780	-25.42	-18.13
372.790	-26.00	-18.58
372.800	-25.22	-18.37
372.810	-25.58	-17.95
372.820	-25.84	-18.67
372.830	-25.19	-17.14
372.840	-24.18	-15.85
372.850	-21.54	-14.13
372.860	-22.87	-14.46
372.870	-24.56	-17.29
372.880	-24.36	-17.33
372.890	-24.16	-16.22
372.900	-24.35	-18.66
372.910	-26.27	-19.04
372.920	-33.38	-26.18
372.930	-30.89	-22.70
372.940	-32.52	-25.67
372.950	-30.69	-24.26
372.960	-30.23	-23.93
372.970	-32.45	-27.05
372.980	-32.75	-26.95
372.990	-31.18	-24.12
373.000	-29.81	-24.04
373.010	-32.23	-24.77
373.020	-29.15	-19.95
373.030	-26.63	-17.83
373.040	-24.68	-15.29
373.050	-22.88	-14.89
373.060	-23.44	-15.26
373.070	-23.35	-16.88
373.080	-23.25	-17.43
373.090	-26.85	-19.98
373.100	-35.28	-27.18
373.110	-30.11	-23.64
373.120	-35.24	-27.31
373.130	-37.38	-28.97
373.140	-35.99	-26.63
373.150	-31.81	-23.15
373.160	-28.90	-19.85
373.170	-29.31	-20.79
373.180	-28.08	-21.55
373.190	-26.73	-19.85
373.200	-25.47	-18.00
373.210	-24.45	-17.30
373.220	-22.99	-16.83
373.230	-23.47	-17.43
373.240	-23.77	-16.54
373.250	-26.14	-18.72
373.260	-25.37	-19.13
373.270	-26.21	-19.68
373.280	-28.48	-20.82
373.290	-29.43	-19.61
373.300	-31.07	-20.95
373.310	-31.93	-23.60
373.320	-33.94	-25.12
373.330	-35.08	-25.83
373.340	-35.04	-25.62
373.350	-36.08	-26.42
373.360	-36.52	-25.17
373.370	-35.81	-27.28
373.380	-31.83	-22.45
373.390	-32.07	-23.55
373.400	-34.98	-23.78
373.410	-39.50	-31.24
373.420	-31.66	-20.94
373.430	-26.03	-16.24
373.440	-23.42	-14.78
373.450	-23.98	-14.99
373.460	-22.98	-13.80
373.470	-21.60	-14.79
373.480	-21.22	-14.98
373.490	-18.54	-12.01
373.500	-17.55	-10.22
373.510	-18.23	-10.34
373.520	-19.37	-9.65
373.530	-20.48	-11.89
373.540	-21.41	-12.08
373.550	-21.37	-12.41
373.560	-21.08	-12.38
373.570	-18.89	-11.43
373.580	-18.43	-11.23
373.590	-18.40	-11.46
373.600	-18.78	-11.81
373.610	-17.66	-10.68
373.620	-18.05	-11.19
373.630	-16.02	-8.91
