threshold	start_abs	end_abs	duration
38	371.800000	371.820975	0.020975
38	371.839615	371.860181	0.020567
38	371.860249	371.928027	0.067778
38	371.928141	371.985918	0.057777
38	371.986100	372.007687	0.021587
38	372.007732	372.075420	0.067688
38	373.990790	374.022150	0.031360
38	374.039410	374.172290	0.132880
38	374.172630	374.194400	0.021770
38	374.194420	374.242930	0.048510
38	374.252630	374.339910	0.087280
38	374.390270	374.413310	0.023040
38	374.601160	374.633970	0.032810
38	374.649120	374.671290	0.022170
38	374.697940	374.718280	0.020340
34	371.800000	372.112608	0.312608
34	373.945120	374.413650	0.468530
34	374.529820	374.728590	0.198770
30	371.800000	372.115692	0.315692
30	373.932990	374.435100	0.502110
30	374.472020	374.729020	0.257000
26	371.800000	372.119138	0.319138
26	372.317755	372.351995	0.034240
26	373.120950	373.149980	0.029030
26	373.922180	374.776420	0.854240
22	371.800000	372.123175	0.323175
22	372.282925	372.365465	0.082540
22	372.605351	372.643537	0.038186
22	372.917170	373.024240	0.107070
22	373.098000	373.163670	0.065670
22	373.315740	373.345960	0.030220
22	373.345990	373.387960	0.041970
22	373.405030	373.429460	0.024430
22	373.882180	374.788750	0.906570
18	371.800000	372.126009	0.326009
18	372.267891	372.370703	0.102812
18	372.397052	372.450249	0.053197
18	372.589229	372.657619	0.068390
18	372.906960	373.034510	0.127550
18	373.088480	373.195920	0.107440
18	373.249250	373.434080	0.184830
18	373.873830	374.796170	0.922340
14	371.800000	372.128617	0.328617
14	372.262177	372.482177	0.220000
14	372.514558	372.676621	0.162063
14	372.676712	372.737460	0.060748
14	372.755782	372.852090	0.096308
14	372.867010	373.061290	0.194280
14	373.061340	373.443170	0.381830
14	373.861200	374.800000	0.938800
