reference	source_duration	study_duration	leading_silence	trailing_silence	status
Genesis-20-9	22.365320	32.339592	0.000	0.127	pass
Genesis-20-10	8.110000	11.728980	0.000	0.000	pass
Genesis-20-11	9.872000	14.288980	0.000	0.000	pass
Genesis-20-12	10.092200	14.602449	0.000	0.000	pass
Genesis-20-13	23.409080	33.854694	0.000	0.000	pass
Genesis-20-14	12.480600	18.050612	0.000	0.000	pass
Genesis-20-15	7.762120	11.232653	0.000	0.000	pass
Genesis-20-16	16.030000	23.170612	0.000	0.000	pass
Genesis-20-17	11.967000	17.319184	0.000	0.000	pass
Genesis-20-18	8.775160	12.695510	0.000	0.000	pass
Genesis-21-1	11.653840	16.848980	0.000	0.000	pass
Genesis-21-2	12.026880	17.397551	0.000	0.000	pass
Genesis-21-3	8.827480	12.773878	0.000	0.000	pass
Genesis-21-4	11.109390	16.065306	0.000	0.000	pass
