reference	start	end	source_duration	study_duration	status
Genesis-20-12	363.290000	374.760000	11.470000	16.587755	pass
Genesis-20-13	374.760000	397.900000	23.140000	33.462857	pass
Genesis-20-14	397.900000	411.800000	13.900000	20.088163	pass
Genesis-20-15	411.800000	419.080000	7.280000	10.553469	pass
Genesis-20-16	419.080000	434.500000	15.420000	22.308571	pass
Genesis-20-17	434.500000	446.170000	11.670000	16.875102	pass
Genesis-20-18	446.170000	456.460000	10.290000	14.889796	pass
Genesis-21-1	456.460000	466.380000	9.920000	14.341224	pass
Genesis-21-2	466.380000	478.970000	12.590000	18.207347	pass
Genesis-21-3	478.970000	487.040000	8.070000	11.676735	pass
Genesis-21-4	487.040000	497.423750	10.383750	15.020408	pass
