reference	start	end	duration
Genesis-20-9	322.942680	345.308000	22.365320
Genesis-20-10	345.308000	353.418000	8.110000
Genesis-20-11	353.418000	363.290000	9.872000
Genesis-20-12	363.290000	373.382200	10.092200
Genesis-20-13	373.382200	396.791280	23.409080
Genesis-20-14	396.791280	409.271880	12.480600
Genesis-20-15	409.271880	417.034000	7.762120
Genesis-20-16	417.034000	433.064000	16.030000
Genesis-20-17	433.064000	445.031000	11.967000
Genesis-20-18	445.031000	453.806160	8.775160
Genesis-21-1	453.806160	465.460000	11.653840
Genesis-21-2	465.460000	477.486880	12.026880
Genesis-21-3	477.486880	486.314360	8.827480
Genesis-21-4	486.314360	497.423750	11.109390
