reference	start	end	pockettorah_tokens	boundary_basis
Genesis-21-5	0.000000	6.248060	9	shared broad-pause late-edge boundary
Genesis-21-6	6.248060	13.663200	10	shared broad-pause late-edge boundary
Genesis-21-7	13.663200	23.199100	11	shared broad-pause late-edge boundary
Genesis-21-8	23.199100	31.928800	11	shared broad-pause late-edge boundary
Genesis-21-9	31.928800	41.067300	10	shared broad-pause late-edge boundary
Genesis-21-10	41.067300	52.355200	17	shared broad-pause late-edge boundary
Genesis-21-11	52.355200	59.653300	8	shared broad-pause late-edge boundary
Genesis-21-12	59.653300	79.474000	23	shared broad-pause late-edge boundary
Genesis-21-13	79.474000	86.334300	9	shared broad-pause late-edge boundary
Genesis-21-14	86.334300	112.267000	21	shared broad-pause late-edge boundary
Genesis-21-15	112.267000	119.381000	10	shared broad-pause late-edge boundary
Genesis-21-16	119.381000	137.416000	19	shared broad-pause late-edge boundary
Genesis-21-17	137.416000	158.494000	28	shared broad-pause late-edge boundary
Genesis-21-18	158.494000	165.892000	12	shared broad-pause late-edge boundary
Genesis-21-19	165.892000	178.215000	15	shared broad-pause late-edge boundary
Genesis-21-20	178.215000	187.516000	10	shared broad-pause late-edge boundary
Genesis-21-21	187.516000	196.885000	9	shared broad-pause late-edge boundary
