boundary	current_cut	threshold	pause_start	pause_end	duration	delta_end_cut
Genesis-21-5->Genesis-21-6	6.007130	-38dB	5.847640	5.915330	0.068	-0.092
Genesis-21-5->Genesis-21-6	6.007130	-38dB	5.915440	6.042130	0.127	+0.035
Genesis-21-5->Genesis-21-6	6.007130	-38dB	6.042200	6.093330	0.051	+0.086
Genesis-21-5->Genesis-21-6	6.007130	-38dB	6.093510	6.274490	0.181	+0.267
Genesis-21-5->Genesis-21-6	6.007130	-34dB	5.016530	5.064380	0.048	-0.943
Genesis-21-5->Genesis-21-6	6.007130	-34dB	5.770140	6.283060	0.513	+0.276
Genesis-21-5->Genesis-21-6	6.007130	-30dB	4.434850	4.512990	0.078	-1.494
Genesis-21-5->Genesis-21-6	6.007130	-30dB	4.657960	4.687960	0.030	-1.319
Genesis-21-5->Genesis-21-6	6.007130	-30dB	4.709140	4.800360	0.091	-1.207
Genesis-21-5->Genesis-21-6	6.007130	-30dB	4.999660	5.072220	0.073	-0.935
Genesis-21-5->Genesis-21-6	6.007130	-30dB	5.741810	6.286330	0.545	+0.279
Genesis-21-5->Genesis-21-6	6.007130	-30dB	7.007140	7.077850	0.071	+1.071
Genesis-21-5->Genesis-21-6	6.007130	-26dB	4.409210	4.526080	0.117	-1.481
Genesis-21-5->Genesis-21-6	6.007130	-26dB	4.626390	4.807070	0.181	-1.200
Genesis-21-5->Genesis-21-6	6.007130	-26dB	4.974560	5.076850	0.102	-0.930
Genesis-21-5->Genesis-21-6	6.007130	-26dB	5.713950	6.292610	0.579	+0.285
Genesis-21-5->Genesis-21-6	6.007130	-26dB	6.976830	7.086030	0.109	+1.079
Genesis-21-5->Genesis-21-6	6.007130	-22dB	4.366730	4.543240	0.177	-1.464
Genesis-21-5->Genesis-21-6	6.007130	-22dB	4.623610	4.807410	0.184	-1.200
Genesis-21-5->Genesis-21-6	6.007130	-22dB	4.944150	5.078570	0.134	-0.929
Genesis-21-5->Genesis-21-6	6.007130	-22dB	5.698620	6.310090	0.611	+0.303
Genesis-21-5->Genesis-21-6	6.007130	-22dB	6.470750	6.582240	0.111	+0.575
Genesis-21-5->Genesis-21-6	6.007130	-22dB	6.965960	7.087730	0.122	+1.081
Genesis-21-5->Genesis-21-6	6.007130	-20dB	4.359710	4.547410	0.188	-1.460
Genesis-21-5->Genesis-21-6	6.007130	-20dB	4.618160	4.813080	0.195	-1.194
Genesis-21-5->Genesis-21-6	6.007130	-20dB	4.942700	5.078750	0.136	-0.928
Genesis-21-5->Genesis-21-6	6.007130	-20dB	5.153830	5.219370	0.066	-0.788
Genesis-21-5->Genesis-21-6	6.007130	-20dB	5.680140	6.312790	0.633	+0.306
Genesis-21-5->Genesis-21-6	6.007130	-20dB	6.463040	6.582340	0.119	+0.575
Genesis-21-5->Genesis-21-6	6.007130	-20dB	6.942990	7.089320	0.146	+1.082
Genesis-21-5->Genesis-21-6	6.007130	-18dB	4.358410	4.817190	0.459	-1.190
Genesis-21-5->Genesis-21-6	6.007130	-18dB	4.940660	5.079730	0.139	-0.927
Genesis-21-5->Genesis-21-6	6.007130	-18dB	5.143650	5.220340	0.077	-0.787
Genesis-21-5->Genesis-21-6	6.007130	-18dB	5.679390	6.312810	0.633	+0.306
Genesis-21-5->Genesis-21-6	6.007130	-18dB	6.450910	6.583290	0.132	+0.576
Genesis-21-5->Genesis-21-6	6.007130	-18dB	6.937850	7.089390	0.152	+1.082
Genesis-21-6->Genesis-21-7	13.163600	-38dB	11.762300	11.948600	0.186	-1.215
Genesis-21-6->Genesis-21-7	13.163600	-38dB	13.006600	13.089800	0.083	-0.074
Genesis-21-6->Genesis-21-7	13.163600	-38dB	13.098600	13.198600	0.100	+0.035
Genesis-21-6->Genesis-21-7	13.163600	-38dB	13.198700	13.234100	0.035	+0.070
Genesis-21-6->Genesis-21-7	13.163600	-38dB	13.234100	13.270600	0.037	+0.107
Genesis-21-6->Genesis-21-7	13.163600	-38dB	13.274100	13.369700	0.096	+0.206
Genesis-21-6->Genesis-21-7	13.163600	-38dB	13.576700	13.632300	0.056	+0.469
Genesis-21-6->Genesis-21-7	13.163600	-38dB	13.632400	13.698100	0.066	+0.534
Genesis-21-6->Genesis-21-7	13.163600	-34dB	11.696200	11.951000	0.255	-1.213
Genesis-21-6->Genesis-21-7	13.163600	-34dB	12.982200	13.698200	0.716	+0.535
Genesis-21-6->Genesis-21-7	13.163600	-30dB	11.691600	11.951900	0.260	-1.212
Genesis-21-6->Genesis-21-7	13.163600	-30dB	12.060500	12.111600	0.051	-1.052
Genesis-21-6->Genesis-21-7	13.163600	-30dB	12.122300	12.177900	0.056	-0.986
Genesis-21-6->Genesis-21-7	13.163600	-30dB	12.453400	12.508800	0.055	-0.655
Genesis-21-6->Genesis-21-7	13.163600	-30dB	12.966100	13.708400	0.742	+0.545
Genesis-21-6->Genesis-21-7	13.163600	-26dB	11.665100	11.958700	0.294	-1.205
Genesis-21-6->Genesis-21-7	13.163600	-26dB	12.045400	12.249900	0.204	-0.914
Genesis-21-6->Genesis-21-7	13.163600	-26dB	12.442600	12.545900	0.103	-0.618
Genesis-21-6->Genesis-21-7	13.163600	-26dB	12.938900	13.708500	0.770	+0.545
Genesis-21-6->Genesis-21-7	13.163600	-26dB	13.935100	13.992100	0.057	+0.829
Genesis-21-6->Genesis-21-7	13.163600	-22dB	11.664200	11.986100	0.322	-1.178
Genesis-21-6->Genesis-21-7	13.163600	-22dB	12.023700	12.255100	0.231	-0.909
Genesis-21-6->Genesis-21-7	13.163600	-22dB	12.405500	12.546100	0.141	-0.618
Genesis-21-6->Genesis-21-7	13.163600	-22dB	12.907700	13.712600	0.805	+0.549
Genesis-21-6->Genesis-21-7	13.163600	-22dB	13.914400	14.020200	0.106	+0.857
Genesis-21-6->Genesis-21-7	13.163600	-20dB	11.649500	11.994200	0.345	-1.169
Genesis-21-6->Genesis-21-7	13.163600	-20dB	12.019300	12.260000	0.241	-0.904
Genesis-21-6->Genesis-21-7	13.163600	-20dB	12.405500	12.550800	0.145	-0.613
Genesis-21-6->Genesis-21-7	13.163600	-20dB	12.895500	13.712600	0.817	+0.549
Genesis-21-6->Genesis-21-7	13.163600	-20dB	13.909600	14.021300	0.112	+0.858
Genesis-21-6->Genesis-21-7	13.163600	-18dB	11.648200	12.260000	0.612	-0.904
Genesis-21-6->Genesis-21-7	13.163600	-18dB	12.400600	12.565700	0.165	-0.598
Genesis-21-6->Genesis-21-7	13.163600	-18dB	12.620300	12.697400	0.077	-0.466
Genesis-21-6->Genesis-21-7	13.163600	-18dB	12.866700	13.712700	0.846	+0.549
Genesis-21-6->Genesis-21-7	13.163600	-18dB	13.895900	14.024400	0.129	+0.861
Genesis-21-7->Genesis-21-8	23.026100	-38dB	22.685100	22.771700	0.087	-0.254
Genesis-21-7->Genesis-21-8	23.026100	-38dB	22.771800	22.810900	0.039	-0.215
Genesis-21-7->Genesis-21-8	23.026100	-38dB	22.810900	23.061100	0.250	+0.035
Genesis-21-7->Genesis-21-8	23.026100	-38dB	23.061200	23.227100	0.166	+0.201
Genesis-21-7->Genesis-21-8	23.026100	-34dB	21.925100	21.959300	0.034	-1.067
Genesis-21-7->Genesis-21-8	23.026100	-34dB	22.653900	23.234100	0.580	+0.208
Genesis-21-7->Genesis-21-8	23.026100	-30dB	21.863100	21.962400	0.099	-1.064
Genesis-21-7->Genesis-21-8	23.026100	-30dB	22.629600	23.235100	0.605	+0.209
Genesis-21-7->Genesis-21-8	23.026100	-26dB	21.572000	21.660400	0.088	-1.366
Genesis-21-7->Genesis-21-8	23.026100	-26dB	21.859500	21.966700	0.107	-1.059
Genesis-21-7->Genesis-21-8	23.026100	-26dB	22.610300	23.237900	0.628	+0.212
Genesis-21-7->Genesis-21-8	23.026100	-26dB	23.441300	23.499700	0.058	+0.474
Genesis-21-7->Genesis-21-8	23.026100	-26dB	24.475300	24.533900	0.059	+1.508
Genesis-21-7->Genesis-21-8	23.026100	-22dB	21.559000	21.664200	0.105	-1.362
Genesis-21-7->Genesis-21-8	23.026100	-22dB	21.741600	21.971800	0.230	-1.054
Genesis-21-7->Genesis-21-8	23.026100	-22dB	22.013300	22.089100	0.076	-0.937
Genesis-21-7->Genesis-21-8	23.026100	-22dB	22.582300	23.243200	0.661	+0.217
Genesis-21-7->Genesis-21-8	23.026100	-22dB	23.403800	23.505900	0.102	+0.480
Genesis-21-7->Genesis-21-8	23.026100	-22dB	24.439000	24.552700	0.114	+1.527
Genesis-21-7->Genesis-21-8	23.026100	-20dB	21.514800	21.669800	0.155	-1.356
Genesis-21-7->Genesis-21-8	23.026100	-20dB	21.736800	21.992700	0.256	-1.033
