verse	source_start	source_end	duration_expected	duration_actual	leading_silence	trailing_silence	ref_match	status
22	0.000000	16.413424	16.413424	16.457143	0.000000	0.000000	true	pass
23	16.413424	34.432109	18.018685	18.050612	0.000000	0.000000	true	pass
24	34.432109	38.495601	4.063492	4.101224	0.000000	0.096460	true	pass
25	38.495601	46.158186	7.662585	7.706122	0.347007	0.113860	true	pass
26	46.158186	63.828571	17.670385	17.711020	1.396960	0.131200	true	pass
27	63.828571	72.118095	8.289524	8.333061	0.565692	0.000000	true	pass
28	72.118095	80.546939	8.428844	8.463673	1.091450	0.000000	true	pass
29	80.546939	91.692517	11.145578	11.180408	0.791179	0.092400	true	pass
30	91.692517	103.906213	12.213696	12.251429	0.864172	0.195900	true	pass
31	103.906213	113.356735	9.450522	9.482449	0.292880	0.000000	true	pass
32	113.356735	124.804172	11.447437	11.493878	0.000000	0.000000	true	pass
33	124.804172	131.932698	7.128526	7.157551	0.000000	0.000000	true	pass
34	131.932698	141.322500	9.389802	9.430204	0.000000	0.082340	true	pass
