verse	source_start	source_end	duration_expected	duration_actual	leading_silence	trailing_silence	boundary_status	previous_tail_mixed	next_word_mixed	status
22	0.000000	16.700000	16.700000	16.744490	0.000000	0.200700	verified	false	false	pass
23	16.700000	34.980000	18.280000	18.311837	0.080181	0.465600	verified	false	false	pass
24	34.980000	38.760000	3.780000	3.813878	0.085487	0.360860	verified	false	false	pass
25	38.760000	47.430000	8.670000	8.698776	0.082630	1.402680	verified	false	false	pass
26	47.430000	64.300000	16.870000	16.901224	0.125147	0.602600	verified	false	false	pass
27	64.300000	73.080000	8.780000	8.829388	0.094240	1.015370	verified	false	false	pass
28	73.080000	81.240000	8.160000	8.202449	0.129546	0.700050	verified	false	false	pass
29	81.240000	92.460000	11.220000	11.258776	0.098141	0.859900	verified	false	false	pass
30	92.460000	104.050000	11.590000	11.624490	0.096689	0.339700	verified	false	false	pass
31	104.050000	113.560000	9.510000	9.560816	0.252336	0.114740	verified	false	false	pass
32	113.560000	125.220000	11.660000	11.702857	0.000000	0.285800	verified	false	false	pass
33	125.220000	132.200000	6.980000	7.026939	0.000000	0.202540	verified	false	false	pass
34	132.200000	141.322500	9.122500	9.168980	0.000000	0.082340	verified	false	false	pass
