boundary	label_time	candidate_pause	adopted_cut	previous_final_word	next_first_word	tail_complete	next_word_not_started	status	basis
Genesis 21:22→21:23	16.413424	NA	16.413424	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:23→21:24	34.432109	NA	34.432109	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:24→21:25	38.495601	NA	38.495601	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:25→21:26	46.158186	NA	46.158186	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:26→21:27	63.828571	NA	63.828571	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:27→21:28	72.118095	NA	72.118095	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:28→21:29	80.546939	NA	80.546939	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:29→21:30	91.692517	NA	91.692517	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:30→21:31	103.906213	NA	103.906213	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:31→21:32	113.356735	NA	113.356735	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:32→21:33	124.804172	NA	124.804172	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
Genesis 21:33→21:34	131.932698	NA	131.932698	PENDING	PENDING	PENDING	PENDING	candidate	Sefaria PocketTorah ref mapping; actual-audio QA follows
