boundary	cut	nearest_pause_start	nearest_pause_end	cut_in_pause	distance_to_pause
22→23	16.413424	16.499300	16.780200	false	0.085876
23→24	34.432109	34.501000	35.065500	false	0.068891
24→25	38.495601	38.399100	38.842600	true	0.000000
25→26	46.158186	46.027300	47.555100	true	0.000000
26→27	63.828571	63.697400	64.394300	true	0.000000
27→28	72.118095	72.064600	73.209500	true	0.000000
28→29	80.546939	80.540000	81.338100	true	0.000000
29→30	91.692517	91.600100	92.556700	true	0.000000
30→31	103.906213	103.710000	104.137000	true	0.000000
31→32	113.356735	113.445000	113.621000	false	0.088265
32→33	124.804172	124.934000	125.292000	false	0.129828
33→34	131.932698	131.997000	132.265000	false	0.064302
