verse	start	end	duration	sefaria_ref	media_url
22	0.000000	16.413424	16.413424	Genesis 21:22	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
23	16.413424	34.432109	18.018685	Genesis 21:23	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
24	34.432109	38.495601	4.063492	Genesis 21:24	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
25	38.495601	46.158186	7.662585	Genesis 21:25	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
26	46.158186	63.828571	17.670385	Genesis 21:26	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
27	63.828571	72.118095	8.289524	Genesis 21:27	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
28	72.118095	80.546939	8.428844	Genesis 21:28	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
29	80.546939	91.692517	11.145578	Genesis 21:29	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
30	91.692517	103.906213	12.213696	Genesis 21:30	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
31	103.906213	113.356735	9.450522	Genesis 21:31	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
32	113.356735	124.804172	11.447437	Genesis 21:32	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
33	124.804172	131.932698	7.128526	Genesis 21:33	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
34	131.932698	141.322500	9.389802	Genesis 21:34	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-6.mp3
