verse	start	end	source_duration	study_atempo	output
1	0.000000	13.514014	13.514014	0.812158348	028-Genesis-22-1-PocketTorah-r3-study.mp3
2	13.514014	37.360907	23.846893	0.812158348	028-Genesis-22-2-PocketTorah-r3-study.mp3
3	37.360907	58.119546	20.758639	0.812158348	028-Genesis-22-3-PocketTorah-r3-study.mp3
4	58.119546	68.080907	9.961361	0.812158348	028-Genesis-22-4-PocketTorah-r3-study.mp3
5	68.080907	82.337959	14.257052	0.812158348	028-Genesis-22-5-PocketTorah-r3-study.mp3
6	82.337959	98.940227	16.602268	0.812158348	028-Genesis-22-6-PocketTorah-r3-study.mp3
7	98.940227	115.124535	16.184308	0.812158348	028-Genesis-22-7-PocketTorah-r3-study.mp3
8	115.124535	125.945034	10.820499	0.812158348	028-Genesis-22-8-PocketTorah-r3-study.mp3
9	125.945034	147.702132	21.757098	0.812158348	028-Genesis-22-9-PocketTorah-r3-study.mp3
10	147.702132	155.736236	8.034104	0.812158348	028-Genesis-22-10-PocketTorah-r3-study.mp3
11	155.736236	165.511837	9.775601	0.812158348	028-Genesis-22-11-PocketTorah-r3-study.mp3
12	165.511837	184.598639	19.086802	0.812158348	028-Genesis-22-12-PocketTorah-r3-study.mp3
13	184.598639	203.197823	18.599184	0.812158348	028-Genesis-22-13-PocketTorah-r3-study.mp3
14	203.197823	213.902222	10.704399	0.812158348	028-Genesis-22-14-PocketTorah-r3-study.mp3
15	213.902222	221.007528	7.105306	0.812158348	028-Genesis-22-15-PocketTorah-r3-study.mp3
16	221.007528	233.406984	12.399456	0.812158348	028-Genesis-22-16-PocketTorah-r3-study.mp3
17	233.406984	250.148571	16.741587	0.812158348	028-Genesis-22-17-PocketTorah-r3-study.mp3
18	250.148571	257.880816	7.732245	0.812158348	028-Genesis-22-18-PocketTorah-r3-study.mp3
19	257.880816	269.351474	11.470658	0.812158348	028-Genesis-22-19-PocketTorah-r3-study.mp3
20	269.351474	284.235465	14.883991	0.812158348	028-Genesis-22-20-PocketTorah-r3-study.mp3
21	284.235465	288.902676	4.667211	0.812158348	028-Genesis-22-21-PocketTorah-r3-study.mp3
22	288.902676	295.032744	6.130068	0.812158348	028-Genesis-22-22-PocketTorah-r3-study.mp3
23	295.032744	304.297506	9.264762	0.812158348	028-Genesis-22-23-PocketTorah-r3-study.mp3
24	304.297506	316.421250	12.123744	0.812158348	028-Genesis-22-24-PocketTorah-r3-study.mp3
