verse_transition	label_time	candidate_pause	adopted_cut	previous_final_word	next_initial_word	tail_complete	next_not_started	status
24:10→24:11	17.653667	17.4699–18.5454	18.350	נָחוֹר	וַיַּבְרֵךְ	yes	yes	verified
24:11→24:12	27.482674	27.4022–28.4816	28.280	הַשֹּׁאֲבֹת	וַיֹּאמַר	yes	yes	verified
24:12→24:13	45.232704	45.2642–45.8428	45.700	אַבְרָהָם	הִנֵּה	yes	yes	verified
24:13→24:14	54.868985	54.8699–55.6410	55.500	מָיִם	וְהָיָה	yes	yes	verified
24:14→24:15	76.377165	76.3543–77.4149	77.250	אֲדֹנִי	וַיְהִי	yes	yes	verified
24:15→24:16	96.728990	96.6456–98.1600	97.950	שִׁכְמָהּ	וְהַנַּעֲרָ	yes	yes	verified
24:16→24:17	110.354692	110.251–111.476	111.300	וַתָּעַל	וַיָּרָץ	yes	yes	verified
24:17→24:18	120.087336	120.006–120.515	120.400	מִכַּדֵּךְ	וַתֹּאמֶר	yes	yes	verified
24:18→24:19	130.513792	130.554–132.153	132.000	וַתַּשְׁקֵהוּ	וַתְּכַל	yes	yes	verified
24:19→24:20	141.094429	141.020–141.473	141.350	לִשְׁתֹּת	וַתְּמַהֵר	yes	yes	verified
24:20→24:21	152.715784	152.629–153.302	153.180	גְּמַלָּיו	וְהָאִישׁ	yes	yes	verified
24:21→24:22	163.469874	163.489–163.969	163.850	לֹא	וַיְהִי	yes	yes	verified
24:22→24:23	177.673752	177.897–178.460	178.340	מִשְׁקָלָם	וַיֹּאמֶר	yes	yes	verified
24:23→24:24	187.290761	187.484–188.274	188.100	לָלִין	וַתֹּאמֶר	yes	yes	verified
24:24→24:25	197.428129	197.464–197.884	197.760	לְנָחוֹר	וַתֹּאמֶר	yes	yes	verified
24:25→24:26	203.768802	203.812–204.247	204.120	לָלוּן	וַיִּקֹּד	yes	yes	verified
